channel_id,channel_title,channel_url,niche,subscriber_count
UCyfmrG13yW_guBRPmft6Yrw,Millennial's Choice Show,https://www.youtube.com/channel/UCyfmrG13yW_guBRPmft6Yrw,e-learning,15500
UC0Q75iES9MTmR6TPNwfZ7cQ,ABRAÇA PODCAST,https://www.youtube.com/channel/UC0Q75iES9MTmR6TPNwfZ7cQ,aprendizado,13000
UCNRfGTyf-MoOgQHdOfyYW2g,Escola do Podcast - Edward & Jeferson,https://www.youtube.com/channel/UCNRfGTyf-MoOgQHdOfyYW2g,escola,12900
UC0_CjpUINWFJurjMRUUvmlA,D-Load Podcast,https://www.youtube.com/channel/UC0_CjpUINWFJurjMRUUvmlA,estudo,12200
UChNXTyyOm-FofMQfFliaTVg,Kodcast Podcast e Lives,https://www.youtube.com/channel/UChNXTyyOm-FofMQfFliaTVg,capacitação,12000
UCsFHd-LY_sTQ66hN-6UW6aA,MaisQFinanças PodCast,https://www.youtube.com/channel/UCsFHd-LY_sTQ66hN-6UW6aA,conhecimento,12000
UCxbhIp1h2lDmpA-gU7DptAA,Tenho Média Pa'Isto,https://www.youtube.com/channel/UCxbhIp1h2lDmpA-gU7DptAA,ensino superior,11900
UCl9ISDkLiaHm3xOtZuKR_3g,Christina Podtudo - Podcast,https://www.youtube.com/channel/UCl9ISDkLiaHm3xOtZuKR_3g,estudos,11400
UCQbc8moReLs1YYsxyPFhl9g,Bizu's Podcast,https://www.youtube.com/channel/UCQbc8moReLs1YYsxyPFhl9g,formação,8100
UC2QAjiG3gTCggD9VJUVwkCg,VOXLAB PODCAST,https://www.youtube.com/channel/UC2QAjiG3gTCggD9VJUVwkCg,aprendizado,7720
UC99vlZ8AkdHwS7JHGyMRyuA,Revista Educação,https://www.youtube.com/channel/UC99vlZ8AkdHwS7JHGyMRyuA,educação,7350
UCTMRyW4A2CJupVNa3fc1Ipg,CHIVUNK PODCAST,https://www.youtube.com/channel/UCTMRyW4A2CJupVNa3fc1Ipg,formação,6940
UCpbXSX9cPOtv4q6xe1mHPeg,IlustraLab Podcast,https://www.youtube.com/channel/UCpbXSX9cPOtv4q6xe1mHPeg,escola,6760
UCu1hSKSQj_D-ntuAyn3HKHA,Ative Seu DNA Podcast,https://www.youtube.com/channel/UCu1hSKSQj_D-ntuAyn3HKHA,instrução,6750
UCCOO3lBQX_b-15gN9bAo_LQ,Podcast do Vítor,https://www.youtube.com/channel/UCCOO3lBQX_b-15gN9bAo_LQ,estudos,6740
UCWtyOKPoprghahWeqjLg_hw,EBD em Síntese Podcast ,https://www.youtube.com/channel/UCWtyOKPoprghahWeqjLg_hw,ensino,5260
UCwxL4pjR2q7A0VUQ7FcviaQ,Os Empresários | Podcast,https://www.youtube.com/channel/UCwxL4pjR2q7A0VUQ7FcviaQ,didática,5180
UC-Vwlr--4Hn5hqQSDUsofwA,Curso de Podcast,https://www.youtube.com/channel/UC-Vwlr--4Hn5hqQSDUsofwA,capacitação,5180
UCyhA0vSHeFyHIrQfy6mKY0w,Podcast Resumov com Susane Ribeiro,https://www.youtube.com/channel/UCyhA0vSHeFyHIrQfy6mKY0w,estudos,4950
UC621JGKtnkK6eUlpxeIYnTA,Reverbera!,https://www.youtube.com/channel/UC621JGKtnkK6eUlpxeIYnTA,pesquisa,4450
